case,no_l2_makespan,l2_makespan,l2_speedup,cache_hit_rate,added_copy_no_l2,added_copy_l2,plan_sha256,seconds
case_058,4539717,4539717,1.0,0.0,28696576,28696576,ff71c780c30ca091e2677bec8c5d6320f2d7acb191c9f44dbc2e314322d098c5,18.82681140000932
case_059,829473,815938,1.0165882701871956,0.6100443131462334,1691648,1691648,2e6a67d7d77f4b2e1ea02410090335b393c7c9d2780064849fbac16238d5ce03,0.9271188999991864
case_060,888789,887801,1.001112862003985,0.4231432279268349,2068520,2068520,1bf1e8d665a7ae8b468b8fb45b8bffc663e14d7443fb16f75feb6c65e761eac8,2.0565005999524146
case_061,77191,77191,1.0,0.0,0,0,edb353981bb45230de54747db9aa340d4d2df60e2525987635147267b7b99e11,0.2401439999230206
case_062,2854809,2854809,1.0,0.0,0,0,fd3cb50d6d81addc681279ae0a013b7060af8878acdbfd2ba99db86a91b024f5,11.116204400081187
case_063,1070397,1070397,1.0,0.0,0,0,22ba1aa466d54b5388d6a4f595e2c379d9b03d96a9122f8f166ba87ce165e289,3.8041654999833554
case_064,19116,19116,1.0,0.0,0,0,8a238951c2570c526b3eb7e15370b4a18f94f353732e7bb3f7270be821613e4d,0.17561889998614788
case_065,53068,53068,1.0,0.0,0,0,b88501b4bd402023171a82f1035f1d67955d3255d5a209d4c17c18d49a8265aa,0.15444070007652044
case_066,359070,359070,1.0,0.0,0,0,dd7381108e3f2ee3eb10c38889c5263501593f2933c63e397d51be5ad16c52cf,2.177773099974729
case_067,63834834,63834834,1.0,0.0,264449408,264449408,c4941c88134f54ccb49298297c83fd8be8bceed0dd301c300e3ed04e74f0316c,6.804734000004828
case_068,362095,362095,1.0,0.0,0,0,d639723b36690dff7eb2f7c0058fe0f6f97bcb5af40b1421d33bee41e8464da2,1.7044527999823913
case_069,25144,25144,1.0,0.0,0,0,af30ca687893924576b2272888779253902b1079d5f535e1e765c51d2adef0f8,0.1671162999700755
case_070,117300,117300,1.0,0.0,0,0,7c7f74954adf5d659bdacfc0445d9844032e7e2c046d0246eda7627371080aaf,0.2598301999969408
case_071,18919,18919,1.0,0.0,0,0,0bb6856ec887b768f441d834d34df78e6b9630a7775746bc926014951c23b9a7,0.12976869998965412
case_072,23897828,23890756,1.000296014073393,0.026210198484652728,108613680,108613680,ad063b0cdf68d42138e79be4c3ecf6eb375242ae6616a4f06fb8bdfceb76d2c1,23.417105700005777
case_073,10081626,10081626,1.0,0.0,141570432,141570432,100881ab473afdd2ce8319d0b66657708836433823172e17d45689ef1ef58c2d,2.489901600056328
case_074,1682239,1678120,1.002454532452983,0.16680485013829857,6070280,6070280,b02f51279acc25929809f62ef45cdf9fd885f724ef2eaef7f79e4e06947e6913,0.9936997999902815
case_075,1441809,1441809,1.0,0.0,0,0,5c6febfc5697a5325aaeeb2418ef066756a0ddab66423c47b65687021d1cc9e7,3.454619000083767
case_076,6185113,6183098,1.0003258884138664,0.13357661937269952,28280832,28280832,906537f45248d4fe0114ea7ed18e61d05ad0d55d1c5fb682fee585fb65cd667a,15.203274399973452
