case_021 p3 n2: baseline=3265932, multiseed=3193634, vns=3193546
case_021 p3 n3: baseline=2209016, multiseed=2164364, vns=2154215
case_021 p3 n4: baseline=1887877, multiseed=1562056, vns=1560372
case_022 p1 n2: baseline=46420, multiseed=30554, vns=29218
case_022 p1 n3: baseline=53667, multiseed=22516, vns=20138
case_021 p3 n5: baseline=1249380, multiseed=1249380, vns=1249324
case_022 p1 n4: baseline=61074, multiseed=16934, vns=16099
case_022 p1 n5: baseline=75070, multiseed=15881, vns=14913
case_022 p2 n2: baseline=35411, multiseed=29586, vns=28489
case_022 p2 n3: baseline=33733, multiseed=20385, vns=19410
case_022 p2 n4: baseline=36575, multiseed=15732, vns=14669
case_022 p3 n2: baseline=35411, multiseed=29586, vns=28489
case_022 p2 n5: baseline=47132, multiseed=14005, vns=13131
case_022 p3 n3: baseline=33527, multiseed=20385, vns=19410
case_022 p3 n4: baseline=36665, multiseed=15722, vns=14669
case_023 p1 n2: baseline=102118, multiseed=61726, vns=61726
case_022 p3 n5: baseline=45273, multiseed=13998, vns=12611
case_023 p1 n3: baseline=94644, multiseed=44578, vns=44578
case_023 p1 n4: baseline=90059, multiseed=36751, vns=35660
case_023 p1 n5: baseline=99294, multiseed=31378, vns=27282
case_023 p2 n2: baseline=79122, multiseed=51738, vns=49014
case_023 p2 n3: baseline=71321, multiseed=33122, vns=32103
case_023 p2 n4: baseline=56808, multiseed=31326, vns=26759
case_023 p2 n5: baseline=65618, multiseed=26858, vns=26199
case_023 p3 n2: baseline=78645, multiseed=51738, vns=49014
case_023 p3 n3: baseline=70283, multiseed=33017, vns=31999
case_023 p3 n4: baseline=56497, multiseed=27391, vns=25056
case_023 p3 n5: baseline=64150, multiseed=26858, vns=25243
case_024 p1 n2: baseline=2594612, multiseed=2555343, vns=2555343
case_024 p1 n3: baseline=2622080, multiseed=2555343, vns=2555343
case_024 p1 n4: baseline=2631931, multiseed=2555343, vns=2555343
case_024 p1 n5: baseline=2654804, multiseed=2555343, vns=2555343
case_024 p2 n2: baseline=2576570, multiseed=2555343, vns=2555343
case_024 p2 n3: baseline=2577414, multiseed=2555343, vns=2555343
case_024 p2 n4: baseline=2599670, multiseed=2482108, vns=2465429
case_024 p2 n5: baseline=2587689, multiseed=2474537, vns=2464078
case_024 p3 n2: baseline=2576570, multiseed=2555343, vns=2555343
case_024 p3 n3: baseline=2577414, multiseed=2555343, vns=2555343
case_024 p3 n4: baseline=2599670, multiseed=2481693, vns=2465429
case_024 p3 n5: baseline=2586859, multiseed=2473707, vns=2463248
case_025 p1 n2: baseline=2440034, multiseed=2435650, vns=2435650
case_025 p1 n3: baseline=1632650, multiseed=1626618, vns=1626618
case_025 p1 n4: baseline=1263362, multiseed=1233570, vns=1233570
case_025 p1 n5: baseline=1028378, multiseed=987434, vns=986988
case_025 p2 n2: baseline=2433638, multiseed=2433638, vns=2433638
case_025 p2 n3: baseline=1623962, multiseed=1623962, vns=1622164
case_025 p2 n4: baseline=1252074, multiseed=1219242, vns=1217444
case_025 p2 n5: baseline=1011762, multiseed=982578, vns=977132
case_025 p3 n2: baseline=2433638, multiseed=2433638, vns=2433638
case_025 p3 n3: baseline=1623962, multiseed=1623962, vns=1622164
case_025 p3 n4: baseline=1252074, multiseed=1219242, vns=1217444
case_026 p1 n2: baseline=101766, multiseed=67267, vns=50487
case_025 p3 n5: baseline=1011762, multiseed=982578, vns=977132
case_026 p1 n3: baseline=85842, multiseed=55173, vns=53219
case_026 p1 n4: baseline=78326, multiseed=53823, vns=49851
case_026 p2 n2: baseline=74386, multiseed=53687, vns=52493
case_026 p1 n5: baseline=84653, multiseed=44607, vns=41647
case_026 p2 n3: baseline=55010, multiseed=40948, vns=39226
case_026 p2 n4: baseline=55598, multiseed=38881, vns=37050
case_026 p3 n2: baseline=74121, multiseed=53687, vns=51818
case_026 p2 n5: baseline=56043, multiseed=39161, vns=32717
case_026 p3 n3: baseline=54062, multiseed=40023, vns=38049
case_026 p3 n4: baseline=54315, multiseed=36687, vns=33134
case_026 p3 n5: baseline=54831, multiseed=34997, vns=31575
case_027 p1 n2: baseline=1891330, multiseed=1116984, vns=1116984
case_027 p1 n3: baseline=1919800, multiseed=840360, vns=837934
case_027 p1 n4: baseline=1853851, multiseed=561212, vns=561212
case_027 p2 n2: baseline=1473522, multiseed=1120962, vns=1120962
case_027 p1 n5: baseline=1803477, multiseed=552118, vns=507735
case_027 p2 n3: baseline=1226126, multiseed=792782, vns=788058
case_027 p2 n4: baseline=1237178, multiseed=559196, vns=559196
case_027 p3 n2: baseline=1472917, multiseed=1120962, vns=1120962
case_027 p2 n5: baseline=1307017, multiseed=537081, vns=537081
case_027 p3 n4: baseline=1235416, multiseed=559196, vns=559196
case_027 p3 n3: baseline=1225226, multiseed=792417, vns=787682
case_027 p3 n5: baseline=1305302, multiseed=537081, vns=537081
case_028 p1 n2: baseline=24153508, multiseed=22648929, vns=22123843
case_028 p1 n3: baseline=17597013, multiseed=14792144, vns=14334021
case_028 p1 n4: baseline=14338416, multiseed=12041229, vns=11187059
case_028 p1 n5: baseline=11707548, multiseed=9765227, vns=9647563
case_028 p2 n3: baseline=17022503, multiseed=15601774, vns=15601774
case_028 p2 n2: baseline=23905473, multiseed=23638628, vns=23638628
case_028 p2 n4: baseline=13592861, multiseed=13592861, vns=12519267
case_028 p2 n5: baseline=11781222, multiseed=9639984, vns=9304175
case_028 p3 n3: baseline=16987132, multiseed=15654706, vns=15654706
case_028 p3 n2: baseline=23885612, multiseed=23615145, vns=23615145
case_028 p3 n5: baseline=11727472, multiseed=9259999, vns=8890874
case_028 p3 n4: baseline=13552804, multiseed=13552804, vns=13552804
case_029 p1 n2: baseline=41867, multiseed=20185, vns=19866
case_029 p1 n3: baseline=31251, multiseed=14752, vns=14346
case_029 p1 n4: baseline=71003, multiseed=11969, vns=11028
case_029 p1 n5: baseline=43813, multiseed=10391, vns=10020
case_029 p2 n2: baseline=32221, multiseed=19740, vns=19740
case_029 p2 n3: baseline=24527, multiseed=12743, vns=12743
case_029 p2 n5: baseline=29894, multiseed=9383, vns=9383
case_029 p2 n4: baseline=47296, multiseed=11028, vns=10440
case_029 p3 n2: baseline=32221, multiseed=19740, vns=19740
case_029 p3 n3: baseline=24230, multiseed=12743, vns=12743
case_029 p3 n5: baseline=29157, multiseed=9383, vns=9383
case_029 p3 n4: baseline=46147, multiseed=11028, vns=10440
case_030 p1 n2: baseline=1574143, multiseed=1408231, vns=1408231
case_030 p1 n3: baseline=1076622, multiseed=946980, vns=946980
case_030 p1 n4: baseline=814994, multiseed=713780, vns=713780
case_030 p1 n5: baseline=714102, multiseed=588174, vns=582630
case_030 p2 n2: baseline=1443103, multiseed=1406535, vns=1401507
case_030 p2 n3: baseline=987578, multiseed=937588, vns=934706
case_030 p2 n4: baseline=745219, multiseed=713843, vns=705508
case_030 p2 n5: baseline=600405, multiseed=567608, vns=565308
case_030 p3 n2: baseline=1443103, multiseed=1406281, vns=1401078
case_030 p3 n3: baseline=987578, multiseed=937305, vns=934706
case_030 p3 n4: baseline=744456, multiseed=713687, vns=705517
case_030 p3 n5: baseline=600287, multiseed=567467, vns=565111
case_031 p1 n2: baseline=817366, multiseed=717016, vns=716701
case_031 p1 n3: baseline=601495, multiseed=496749, vns=496540
case_031 p1 n4: baseline=532882, multiseed=372998, vns=372774
case_031 p1 n5: baseline=655136, multiseed=304521, vns=304401
case_031 p2 n2: baseline=741363, multiseed=719438, vns=718761
case_031 p2 n3: baseline=528004, multiseed=490905, vns=486205
case_031 p2 n4: baseline=457774, multiseed=364003, vns=363952
case_031 p2 n5: baseline=498937, multiseed=303668, vns=299175
case_031 p3 n2: baseline=741129, multiseed=719017, vns=717505
case_031 p3 n3: baseline=527689, multiseed=487970, vns=484527
case_031 p3 n4: baseline=455427, multiseed=362955, vns=362887
case_032 p1 n2: baseline=41167, multiseed=19649, vns=19458
case_031 p3 n5: baseline=498096, multiseed=303668, vns=298956
case_032 p1 n3: baseline=59319, multiseed=15152, vns=14754
case_032 p1 n4: baseline=45457, multiseed=15938, vns=14877
case_032 p1 n5: baseline=47088, multiseed=16252, vns=15609
case_032 p2 n3: baseline=38963, multiseed=14260, vns=13132
case_032 p2 n2: baseline=28603, multiseed=18867, vns=18041
case_032 p2 n4: baseline=29720, multiseed=12219, vns=11187
case_032 p2 n5: baseline=27570, multiseed=11601, vns=11228
case_032 p3 n2: baseline=28601, multiseed=18770, vns=18383
case_032 p3 n3: baseline=38960, multiseed=14011, vns=12829
case_032 p3 n4: baseline=29681, multiseed=12219, vns=11128
case_032 p3 n5: baseline=26977, multiseed=11601, vns=10572
case_033 p1 n2: baseline=1725191, multiseed=916740, vns=906030
case_033 p1 n3: baseline=1217007, multiseed=615865, vns=604236
case_033 p1 n4: baseline=1750984, multiseed=455662, vns=453185
case_033 p1 n5: baseline=870360, multiseed=398959, vns=373305
case_033 p2 n2: baseline=1501462, multiseed=912383, vns=894613
case_033 p2 n3: baseline=938823, multiseed=596150, vns=593966
case_033 p2 n4: baseline=1567949, multiseed=448457, vns=445599
case_033 p2 n5: baseline=784758, multiseed=385923, vns=361655
case_033 p3 n2: baseline=1500595, multiseed=911247, vns=894102
case_033 p3 n3: baseline=937430, multiseed=595415, vns=592782
case_033 p3 n4: baseline=1565443, multiseed=445969, vns=445508
case_033 p3 n5: baseline=782582, multiseed=385921, vns=361126
