case_084 p2 n3: baseline=878020, multiseed=840772, vns=839098
case_084 p2 n4: baseline=663948, multiseed=633736, vns=633736
case_084 p2 n5: baseline=515164, multiseed=503576, vns=503576
case_084 p3 n2: baseline=1278332, multiseed=1255052, vns=1253876
case_084 p3 n3: baseline=878020, multiseed=840772, vns=839098
case_084 p3 n5: baseline=515164, multiseed=503576, vns=503576
case_084 p3 n4: baseline=663948, multiseed=633736, vns=633736
case_085 p1 n3: baseline=3187097, multiseed=2833938, vns=2781908
case_085 p1 n2: baseline=3171548, multiseed=2887495, vns=2824308
case_085 p1 n4: baseline=3184106, multiseed=2585774, vns=2559236
case_085 p1 n5: baseline=2773626, multiseed=2773626, vns=2740213
case_085 p2 n3: baseline=2359784, multiseed=1718978, vns=1705149
case_085 p2 n2: baseline=2726113, multiseed=2418657, vns=2310652
case_085 p2 n4: baseline=2301648, multiseed=1787208, vns=1746680
case_085 p2 n5: baseline=1959169, multiseed=1316142, vns=1308515
case_085 p3 n3: baseline=2359783, multiseed=1716765, vns=1703258
case_085 p3 n2: baseline=2726113, multiseed=2418605, vns=2310600
case_085 p3 n4: baseline=2301312, multiseed=1783789, vns=1743689
case_085 p3 n5: baseline=1958700, multiseed=1312983, vns=1305827
case_086 p1 n2: baseline=140826, multiseed=111456, vns=110915
case_086 p1 n3: baseline=134783, multiseed=102099, vns=99359
case_086 p1 n4: baseline=188014, multiseed=111456, vns=110915
case_086 p1 n5: baseline=204710, multiseed=106541, vns=106031
case_086 p2 n2: baseline=104180, multiseed=98381, vns=84388
case_086 p2 n3: baseline=92501, multiseed=67684, vns=66789
case_086 p2 n4: baseline=89671, multiseed=83104, vns=81421
case_086 p2 n5: baseline=93680, multiseed=77036, vns=70531
case_086 p3 n2: baseline=104165, multiseed=98381, vns=84388
case_086 p3 n3: baseline=91907, multiseed=67539, vns=67006
case_086 p3 n4: baseline=88909, multiseed=82353, vns=81038
case_086 p3 n5: baseline=92665, multiseed=76846, vns=70306
case_087 p1 n2: baseline=2586437, multiseed=2020081, vns=2019084
case_087 p1 n3: baseline=2086746, multiseed=1514315, vns=1514315
case_087 p1 n4: baseline=1972421, multiseed=1134021, vns=1134021
case_087 p1 n5: baseline=1696684, multiseed=1001600, vns=950648
case_087 p2 n2: baseline=2597606, multiseed=1992229, vns=1992229
case_087 p2 n3: baseline=2068278, multiseed=1419735, vns=1412551
case_087 p2 n4: baseline=1819539, multiseed=1133071, vns=1044566
case_087 p2 n5: baseline=1635102, multiseed=1000712, vns=946790
case_087 p3 n2: baseline=2593604, multiseed=1990755, vns=1990755
case_087 p3 n3: baseline=2061672, multiseed=1418895, vns=1384476
case_087 p3 n4: baseline=1818220, multiseed=1132927, vns=1042302
case_088 p1 n2: baseline=257899, multiseed=215280, vns=214571
case_087 p3 n5: baseline=1633443, multiseed=999565, vns=946765
case_088 p1 n3: baseline=223718, multiseed=203748, vns=197820
case_088 p1 n4: baseline=274265, multiseed=213334, vns=207736
case_088 p1 n5: baseline=303435, multiseed=193907, vns=189284
case_088 p2 n2: baseline=161350, multiseed=161350, vns=161350
case_088 p2 n3: baseline=147296, multiseed=147296, vns=136104
case_088 p2 n4: baseline=186165, multiseed=185736, vns=183402
case_088 p2 n5: baseline=211105, multiseed=136365, vns=133583
case_088 p3 n2: baseline=161350, multiseed=161350, vns=161350
case_088 p3 n3: baseline=146846, multiseed=146846, vns=135748
case_088 p3 n4: baseline=184539, multiseed=184539, vns=166982
case_088 p3 n5: baseline=210479, multiseed=133041, vns=130501
case_089 p1 n2: baseline=714048, multiseed=347364, vns=347364
case_089 p1 n3: baseline=260608, multiseed=260608, vns=244380
case_089 p1 n4: baseline=382279, multiseed=183220, vns=183220
case_089 p1 n5: baseline=221586, multiseed=156404, vns=156404
case_089 p2 n2: baseline=474971, multiseed=346832, vns=346832
case_089 p2 n3: baseline=243614, multiseed=235674, vns=231898
case_089 p2 n4: baseline=249634, multiseed=173472, vns=173472
case_089 p2 n5: baseline=207104, multiseed=139048, vns=139048
case_089 p3 n2: baseline=474971, multiseed=346832, vns=346832
case_089 p3 n3: baseline=243614, multiseed=235674, vns=231898
case_089 p3 n4: baseline=248430, multiseed=173472, vns=173472
case_090 p1 n2: baseline=828099, multiseed=679752, vns=613105
case_089 p3 n5: baseline=207077, multiseed=139048, vns=139048
case_090 p1 n3: baseline=775945, multiseed=589444, vns=506670
case_090 p1 n4: baseline=1137638, multiseed=562901, vns=511597
case_090 p1 n5: baseline=723625, multiseed=506389, vns=498371
case_090 p2 n2: baseline=934215, multiseed=609374, vns=601447
case_090 p2 n3: baseline=834102, multiseed=404519, vns=395863
case_090 p2 n4: baseline=859721, multiseed=291124, vns=272778
case_090 p2 n5: baseline=752125, multiseed=282362, vns=279869
case_090 p3 n2: baseline=934143, multiseed=503556, vns=471121
case_090 p3 n3: baseline=834102, multiseed=346210, vns=315353
case_090 p3 n4: baseline=857469, multiseed=286562, vns=227764
case_090 p3 n5: baseline=752125, multiseed=261006, vns=217378
case_091 p1 n2: baseline=4734061, multiseed=4565456, vns=4565456
case_091 p1 n3: baseline=3344182, multiseed=3047290, vns=3047290
case_091 p1 n4: baseline=2332961, multiseed=2319628, vns=2306206
case_091 p1 n5: baseline=2010785, multiseed=1865709, vns=1865476
case_091 p2 n3: baseline=3161000, multiseed=3096722, vns=3096231
case_091 p2 n2: baseline=4699486, multiseed=4606083, vns=4597574
case_091 p2 n4: baseline=2392503, multiseed=2327878, vns=2325462
case_091 p2 n5: baseline=1980580, multiseed=1857890, vns=1851494
case_091 p3 n2: baseline=4692349, multiseed=4595616, vns=4592442
case_091 p3 n3: baseline=3137995, multiseed=3084555, vns=3084055
case_091 p3 n4: baseline=2383463, multiseed=2313031, vns=2313031
case_091 p3 n5: baseline=1958168, multiseed=1852586, vns=1838217
case_092 p1 n3: baseline=2422302, multiseed=2302952, vns=2246154
case_092 p1 n2: baseline=2996799, multiseed=2859543, vns=2859543
case_092 p1 n4: baseline=2222627, multiseed=2101733, vns=1994466
case_092 p1 n5: baseline=2127833, multiseed=1694454, vns=1637969
case_092 p2 n3: baseline=2230683, multiseed=2230683, vns=1951164
case_092 p2 n2: baseline=2853345, multiseed=2853345, vns=2713229
case_092 p2 n4: baseline=1927824, multiseed=1927728, vns=1672822
case_092 p2 n5: baseline=1805445, multiseed=1206868, vns=1058375
case_092 p3 n3: baseline=1789584, multiseed=1789584, vns=1571720
case_092 p3 n2: baseline=2385111, multiseed=2385111, vns=2286321
case_092 p3 n4: baseline=1470398, multiseed=1470398, vns=1396483
case_093 p1 n2: baseline=96520, multiseed=38641, vns=38120
case_093 p1 n3: baseline=52944, multiseed=28131, vns=27470
case_093 p1 n4: baseline=59737, multiseed=24125, vns=20988
case_092 p3 n5: baseline=1378920, multiseed=1055062, vns=860752
case_093 p2 n2: baseline=54242, multiseed=37827, vns=37827
case_093 p1 n5: baseline=28635, multiseed=20539, vns=18565
case_093 p2 n3: baseline=42264, multiseed=26140, vns=25301
case_093 p2 n5: baseline=15876, multiseed=15876, vns=15876
case_093 p2 n4: baseline=35317, multiseed=19254, vns=19254
case_093 p3 n2: baseline=54242, multiseed=37827, vns=37827
case_093 p3 n3: baseline=42238, multiseed=26140, vns=25301
case_093 p3 n5: baseline=15876, multiseed=15876, vns=15876
case_093 p3 n4: baseline=35214, multiseed=19254, vns=19242
case_094 p1 n2: baseline=104986, multiseed=49658, vns=48996
case_094 p1 n3: baseline=48124, multiseed=37896, vns=37896
case_094 p1 n4: baseline=67214, multiseed=29554, vns=28410
case_094 p1 n5: baseline=59403, multiseed=24860, vns=23280
case_094 p2 n2: baseline=77721, multiseed=38902, vns=38659
case_094 p2 n3: baseline=39050, multiseed=30178, vns=28647
case_094 p2 n4: baseline=48184, multiseed=26798, vns=26798
case_094 p2 n5: baseline=46798, multiseed=21006, vns=19995
case_094 p3 n2: baseline=77718, multiseed=38902, vns=38659
case_094 p3 n4: baseline=47557, multiseed=26798, vns=26798
case_094 p3 n3: baseline=39050, multiseed=29132, vns=28359
case_094 p3 n5: baseline=42909, multiseed=21006, vns=19995
case_095 p1 n3: baseline=717020, multiseed=696802, vns=696802
case_095 p1 n2: baseline=1064733, multiseed=1048529, vns=1046755
case_095 p1 n4: baseline=545069, multiseed=544421, vns=541091
case_095 p1 n5: baseline=463870, multiseed=427727, vns=423985
case_095 p2 n3: baseline=704696, multiseed=695775, vns=695775
case_095 p2 n2: baseline=1056323, multiseed=1042890, vns=1042890
case_095 p2 n5: baseline=443309, multiseed=425261, vns=420852
case_095 p2 n4: baseline=529037, multiseed=528934, vns=528831
case_095 p3 n2: baseline=1056323, multiseed=1042890, vns=1042890
case_095 p3 n3: baseline=704696, multiseed=695775, vns=695775
case_095 p3 n5: baseline=443309, multiseed=425261, vns=420852
case_096 p1 n2: baseline=88799, multiseed=42320, vns=42266
case_095 p3 n4: baseline=529037, multiseed=528934, vns=528831
case_096 p1 n3: baseline=71051, multiseed=37007, vns=35867
case_096 p1 n4: baseline=69876, multiseed=28994, vns=27869
case_096 p2 n2: baseline=60721, multiseed=42046, vns=41959
case_096 p1 n5: baseline=83713, multiseed=29766, vns=27424
case_096 p2 n3: baseline=45960, multiseed=31504, vns=30447
case_096 p2 n4: baseline=46496, multiseed=28967, vns=26601
case_096 p3 n2: baseline=60689, multiseed=42046, vns=41959
case_096 p2 n5: baseline=52650, multiseed=22491, vns=20340
case_096 p3 n3: baseline=45828, multiseed=31522, vns=30447
case_096 p3 n4: baseline=46162, multiseed=26518, vns=26131
case_096 p3 n5: baseline=51518, multiseed=19602, vns=19598
case_097 p1 n2: baseline=5171836, multiseed=5156692, vns=5156692
case_097 p1 n3: baseline=5106359, multiseed=3608012, vns=3556774
case_097 p1 n4: baseline=2608028, multiseed=2579804, vns=2579804
case_097 p1 n5: baseline=2123528, multiseed=2123528, vns=2115485
case_097 p2 n2: baseline=5617602, multiseed=5617602, vns=5497237
case_097 p2 n3: baseline=3589285, multiseed=3589285, vns=3588775
case_097 p2 n4: baseline=2626908, multiseed=2626908, vns=2624686
case_097 p2 n5: baseline=2102348, multiseed=2102348, vns=2102140
case_097 p3 n2: baseline=5617602, multiseed=5617602, vns=5557107
case_097 p3 n4: baseline=2626908, multiseed=2626908, vns=2621513
case_097 p3 n3: baseline=3589212, multiseed=3589212, vns=3587840
case_098 p1 n2: baseline=140341, multiseed=111302, vns=110926
case_098 p1 n3: baseline=114788, multiseed=84995, vns=82805
case_098 p1 n4: baseline=130207, multiseed=82738, vns=82461
case_098 p1 n5: baseline=167234, multiseed=93609, vns=91950
