case_056 p2 n2: baseline=204636, multiseed=202642, vns=190015
case_056 p2 n3: baseline=189011, multiseed=189011, vns=181961
case_056 p2 n4: baseline=202268, multiseed=202268, vns=196471
case_056 p2 n5: baseline=189057, multiseed=159392, vns=154422
case_056 p3 n2: baseline=204630, multiseed=202636, vns=190009
case_056 p3 n3: baseline=188665, multiseed=188665, vns=181905
case_056 p3 n4: baseline=201862, multiseed=201862, vns=196172
case_057 p1 n2: baseline=70818, multiseed=33220, vns=32654
case_057 p1 n3: baseline=62997, multiseed=20982, vns=20786
case_057 p1 n4: baseline=77284, multiseed=18839, vns=18602
case_056 p3 n5: baseline=188659, multiseed=159131, vns=154348
case_057 p1 n5: baseline=88373, multiseed=27797, vns=24565
case_057 p2 n2: baseline=52339, multiseed=29306, vns=28834
case_057 p2 n3: baseline=39018, multiseed=20145, vns=20132
case_057 p2 n4: baseline=48883, multiseed=16522, vns=16447
case_057 p2 n5: baseline=61018, multiseed=16529, vns=14978
case_057 p3 n2: baseline=52336, multiseed=29306, vns=28698
case_057 p3 n3: baseline=38229, multiseed=20145, vns=20132
case_057 p3 n4: baseline=47413, multiseed=16522, vns=16447
case_057 p3 n5: baseline=59764, multiseed=14263, vns=13967
case_058 p1 n2: baseline=2230995, multiseed=2230995, vns=2230995
case_058 p1 n3: baseline=1508216, multiseed=1508216, vns=1507201
case_058 p1 n4: baseline=1247533, multiseed=1242065, vns=1238915
case_058 p1 n5: baseline=1089578, multiseed=1027150, vns=1016707
case_058 p2 n3: baseline=1537102, multiseed=1518262, vns=1500577
case_058 p2 n2: baseline=2270091, multiseed=2270091, vns=2257752
case_058 p2 n5: baseline=1050888, multiseed=940996, vns=940996
case_058 p2 n4: baseline=1243269, multiseed=1133593, vns=1130511
case_058 p3 n3: baseline=1534174, multiseed=1514188, vns=1495353
case_058 p3 n2: baseline=2270091, multiseed=2266324, vns=2266013
case_058 p3 n4: baseline=1234118, multiseed=1126133, vns=1123930
case_058 p3 n5: baseline=965018, multiseed=930527, vns=920331
case_059 p1 n2: baseline=377148, multiseed=370884, vns=370884
case_059 p1 n3: baseline=381714, multiseed=264281, vns=257760
case_059 p1 n4: baseline=198236, multiseed=186084, vns=186084
case_059 p2 n2: baseline=369318, multiseed=369318, vns=369318
case_059 p1 n5: baseline=163124, multiseed=163124, vns=161567
case_059 p2 n3: baseline=256268, multiseed=255765, vns=252305
case_059 p2 n4: baseline=185216, multiseed=185216, vns=185216
case_059 p3 n2: baseline=369318, multiseed=369318, vns=369318
case_059 p2 n5: baseline=150782, multiseed=150782, vns=150598
case_059 p3 n4: baseline=185216, multiseed=185216, vns=185216
case_059 p3 n3: baseline=255773, multiseed=255349, vns=251809
case_059 p3 n5: baseline=150736, multiseed=150736, vns=150667
case_060 p1 n2: baseline=879855, multiseed=446542, vns=442450
case_060 p1 n3: baseline=874766, multiseed=297886, vns=297886
case_060 p1 n4: baseline=528934, multiseed=232669, vns=227506
case_060 p1 n5: baseline=269851, multiseed=190732, vns=187535
case_060 p2 n2: baseline=778793, multiseed=452229, vns=443206
case_060 p2 n4: baseline=332497, multiseed=233982, vns=227462
case_060 p2 n3: baseline=758622, multiseed=292388, vns=291567
case_060 p2 n5: baseline=212327, multiseed=184221, vns=181958
case_060 p3 n2: baseline=777779, multiseed=451401, vns=450476
case_060 p3 n4: baseline=329526, multiseed=230977, vns=227398
case_060 p3 n3: baseline=757589, multiseed=292084, vns=290977
case_061 p1 n2: baseline=80544, multiseed=48096, vns=45334
case_061 p1 n3: baseline=72628, multiseed=34302, vns=33986
case_061 p1 n4: baseline=94094, multiseed=26341, vns=26121
case_061 p1 n5: baseline=117604, multiseed=23566, vns=22525
case_060 p3 n5: baseline=197880, multiseed=176575, vns=175251
case_061 p2 n2: baseline=55547, multiseed=41593, vns=41593
case_061 p2 n3: baseline=52701, multiseed=32527, vns=28490
case_061 p2 n4: baseline=48009, multiseed=22544, vns=22219
case_061 p3 n2: baseline=55454, multiseed=41593, vns=41593
case_061 p2 n5: baseline=67672, multiseed=19061, vns=18275
case_061 p3 n3: baseline=52379, multiseed=32527, vns=28490
case_061 p3 n4: baseline=47427, multiseed=22544, vns=22219
case_061 p3 n5: baseline=66544, multiseed=18919, vns=18176
case_062 p1 n2: baseline=1526151, multiseed=1526151, vns=1525115
case_062 p1 n3: baseline=1096017, multiseed=1096017, vns=1042967
case_062 p1 n4: baseline=843536, multiseed=843536, vns=817374
case_062 p1 n5: baseline=712424, multiseed=712424, vns=698055
case_062 p2 n3: baseline=1085168, multiseed=1077119, vns=1064140
case_062 p2 n2: baseline=1517850, multiseed=1517850, vns=1517850
case_062 p2 n5: baseline=667947, multiseed=656678, vns=656678
case_062 p2 n4: baseline=832071, multiseed=811802, vns=811802
case_062 p3 n3: baseline=1085168, multiseed=1077119, vns=1064140
case_062 p3 n2: baseline=1517850, multiseed=1517850, vns=1517850
case_062 p3 n5: baseline=667947, multiseed=656678, vns=656678
case_062 p3 n4: baseline=832071, multiseed=811802, vns=811802
case_063 p1 n3: baseline=415809, multiseed=396207, vns=396175
case_063 p1 n2: baseline=576221, multiseed=572255, vns=571183
case_063 p1 n4: baseline=312882, multiseed=312882, vns=306436
case_063 p1 n5: baseline=262942, multiseed=249520, vns=247588
case_063 p2 n2: baseline=567952, multiseed=567894, vns=565481
case_063 p2 n3: baseline=405756, multiseed=392777, vns=388538
case_063 p2 n4: baseline=299745, multiseed=299745, vns=296780
case_063 p2 n5: baseline=244919, multiseed=244919, vns=238249
case_063 p3 n2: baseline=567952, multiseed=567894, vns=565481
case_063 p3 n3: baseline=405756, multiseed=392777, vns=388538
case_063 p3 n4: baseline=299745, multiseed=299745, vns=296780
case_063 p3 n5: baseline=244919, multiseed=244919, vns=238249
case_064 p1 n2: baseline=47127, multiseed=19116, vns=19116
case_064 p1 n3: baseline=53367, multiseed=19116, vns=19116
case_064 p1 n5: baseline=62798, multiseed=19116, vns=19116
case_064 p1 n4: baseline=59726, multiseed=19080, vns=17673
case_064 p2 n2: baseline=26071, multiseed=17005, vns=15256
case_064 p2 n3: baseline=32628, multiseed=13243, vns=12434
case_064 p2 n4: baseline=33831, multiseed=14045, vns=13860
case_064 p2 n5: baseline=32804, multiseed=12880, vns=12698
case_064 p3 n2: baseline=26071, multiseed=17005, vns=15256
case_064 p3 n3: baseline=32628, multiseed=13243, vns=12434
case_064 p3 n4: baseline=33806, multiseed=14045, vns=13976
case_065 p1 n2: baseline=58622, multiseed=27590, vns=27068
case_064 p3 n5: baseline=32774, multiseed=12855, vns=12674
case_065 p1 n3: baseline=49642, multiseed=18884, vns=18884
case_065 p1 n4: baseline=51513, multiseed=16002, vns=15208
case_065 p1 n5: baseline=60424, multiseed=14437, vns=13800
case_065 p2 n2: baseline=31005, multiseed=24673, vns=21893
case_065 p2 n4: baseline=28365, multiseed=14907, vns=12794
case_065 p2 n3: baseline=30624, multiseed=17284, vns=16407
case_065 p2 n5: baseline=35398, multiseed=12899, vns=10864
case_065 p3 n2: baseline=30905, multiseed=24532, vns=21893
case_065 p3 n4: baseline=28186, multiseed=14907, vns=12794
case_065 p3 n3: baseline=30547, multiseed=16870, vns=15450
case_065 p3 n5: baseline=34711, multiseed=12002, vns=10835
case_066 p1 n2: baseline=330429, multiseed=228638, vns=227234
case_066 p1 n3: baseline=320002, multiseed=240327, vns=230699
case_066 p1 n5: baseline=388787, multiseed=244418, vns=238920
case_066 p1 n4: baseline=377466, multiseed=228638, vns=227131
case_066 p2 n2: baseline=254669, multiseed=223478, vns=215568
case_066 p2 n3: baseline=258964, multiseed=201950, vns=195074
case_066 p2 n4: baseline=252052, multiseed=189877, vns=177712
case_066 p2 n5: baseline=248590, multiseed=190999, vns=187245
case_066 p3 n2: baseline=254615, multiseed=223478, vns=215515
case_066 p3 n3: baseline=258815, multiseed=201471, vns=194694
case_066 p3 n4: baseline=251502, multiseed=189204, vns=181136
case_066 p3 n5: baseline=247803, multiseed=190359, vns=186295
