case_id,n_cores,no_l2_makespan,no_l2_added_copy,l2_makespan,l2_added_copy,cache_hit_rate
case_035,1,169571,0,169571,0,0.0
case_035,2,99275,73382,99275,73382,0.018803520348013636
case_035,3,98323,0,98323,0,0.0
case_035,4,98174,522478,97988,538738,0.19422034085878706
case_035,5,97907,667260,97804,661828,0.296856036802694
case_036,1,931510,0,931510,0,0.0
case_036,2,466068,1152,466068,1152,0.0
case_036,3,311345,2304,311345,2304,0.0
case_036,4,233584,3456,233584,3456,0.0
case_036,5,187182,4608,187182,4608,0.0
case_037,1,210001,0,210001,0,0.0
case_037,2,105374,204800,105374,204800,0.0
case_037,3,71032,905216,70970,905216,0.38741721854304634
case_037,4,53320,614400,53320,614400,0.0
case_037,5,43013,819200,43013,819200,0.12121212121212122
case_038,1,1364555,5627904,1363312,5627904,0.1736168151396097
case_038,2,673452,2000024,673452,2000024,0.35712037407860414
case_038,3,454994,8191488,454430,8191488,0.3894971954550365
case_038,4,349139,4368384,349139,4368384,0.5733691485748025
case_038,5,280538,8565760,276602,8680960,0.5729737083402489
case_039,1,1435262,7929856,1435262,7929856,0.0
case_039,2,705060,9105408,701809,9105408,0.4379809172052939
case_039,3,480630,20086784,472526,20094976,0.4049657534246575
case_039,4,353390,11030528,349026,11259904,0.6519607843137255
case_039,5,317066,10366976,303012,14757888,0.5631510416666666
case_040,1,253454,0,253454,0,0.0
case_040,2,130995,53760,130959,53760,0.053591230073766705
case_040,3,111804,117094,111792,117094,0.03530299902447712
case_040,4,116144,94470,116144,94470,0.020167904050106798
case_040,5,81091,1883828,80507,1850680,0.3483341160933918
case_041,1,6003957,30898176,6001575,30898176,0.10163681549404405
case_041,2,3013832,24317952,3007339,24244224,0.26244343891402716
case_041,3,2007756,24100864,2003476,24100864,0.26413630110409536
case_041,4,1511329,23288832,1507593,23288832,0.30298085291557875
case_041,5,1215630,23731204,1212234,24107008,0.346393934050432
case_042,1,1686740,6629376,1675633,6629376,0.3186917583766532
case_042,2,847773,7415808,841158,7415808,0.4275042944785276
case_042,3,574557,17031200,578699,8079744,0.4753423522152744
case_042,4,445255,6934528,438804,17630244,0.2804961156810005
case_042,5,367334,7676928,354359,7974912,0.45927771806846174
case_043,1,677656,49160,677656,49160,0.03320740032104811
case_043,2,343864,627992,343864,627992,0.18808599712180019
case_043,3,262065,445558,262065,445558,0.13789464821320982
case_043,4,255010,291756,255010,291756,0.05871489725196323
case_043,5,264949,471286,264944,471286,0.1366415095571268
case_044,1,154407,4438112,107814,4438112,0.8199885718367201
case_044,2,56489,1137248,50676,1155680,0.26066950973161895
case_044,3,61990,2182848,46862,3048032,0.6021907237298807
case_044,4,54445,1977120,51792,2091296,0.1917345698464863
case_044,5,53481,1944160,48337,2486368,0.31865474940050337
case_045,1,125614,0,125614,0,0.0
case_045,2,63287,16384,63287,16384,0.0
case_045,3,43748,16384,43748,16384,0.0
case_045,4,31961,0,31961,0,0.0
case_045,5,26330,0,26330,0,0.0
case_046,1,276455,3176288,244994,3176288,0.7530304668077024
case_046,2,112554,930400,112554,930400,0.0
case_046,3,93895,3062976,83761,4381504,0.7665439717740705
case_046,4,79740,2791200,58152,2833184,0.6884918629333873
case_046,5,92654,3738880,64720,3987712,0.7541482944607384
case_047,1,326508,0,326508,0,0.0
case_047,2,267843,854150,267843,854150,0.13049470875982463
case_047,3,212513,1610124,212500,1610124,0.22841786886469292
case_047,4,219981,2181904,219900,2181904,0.3254769100872512
case_047,5,228262,1546456,228195,1546456,0.24005096965361594
case_048,1,222220,0,222220,0,0.0
case_048,2,187709,463302,187709,463302,0.009635004806648681
case_048,3,162835,827660,162835,827660,0.21919937281223567
case_048,4,158240,947026,158134,947026,0.20554413548126296
case_048,5,148358,1165910,148331,1165910,0.2411226309035782
case_049,1,196276,0,196276,0,0.0
case_049,2,145441,614802,145441,614802,0.024276349139523496
case_049,3,135614,957994,135556,957994,0.10446863497533088
case_049,4,111102,662268,111088,662268,0.12087781488842898
case_049,5,116698,766966,116645,766966,0.1477414681381064
case_050,1,149690,0,149690,0,0.0
case_050,2,100839,205766,100795,205766,0.057508707514918954
case_050,3,68372,896938,68366,896938,0.2417760686650139
case_050,4,62740,660822,62692,660822,0.2707965844615471
case_050,5,79033,480256,79011,480256,0.21927649818724676
case_051,1,607628,0,607628,0,0.0
case_051,2,412219,393956,407973,393956,0.49976487095864014
case_051,3,312911,721816,313900,721828,0.6468295623994014
